"来源ID","主要问题","原始维度","处置","canonical去向","近重复","删除内容与理由"
"CH-001","镜像型大反派","人物","保留重写","人物/镜像宿敌与理念分岔","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-002","双面间谍型关键角色","人物","保留重写","人物/站队成本与忠诚裂缝","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-003","韧性反击型女主","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-004","团宠守护者联盟","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-005","聊天群跨界成员关系","人物","拆分","人物/团队功能与短板分工","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-006","政治联姻型利益伴侣","人物","拆分","人物/权力不对称与边界学习","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-007","悲剧型可理解反派","人物","保留重写","人物/价值自洽反派与现实代价","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-008","反差萌隐藏属性角色","人物","删除","—","只有人物标签或反差模板","依赖固定标签与反差，无法形成独有设计动作"
"CH-009","缺陷互补型冒险小队","人物","保留重写","人物/团队功能与短板分工","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-010","失忆身份冲突型主角","人物","保留重写","人物/身份冲突与新旧自我","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-011","守护驱动型主角","人物","保留重写","人物/守护压力与底线","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-012","信条型刺客组织成员","人物","保留重写","人物/信条约束的组织成员","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-013","复仇驱动型主角","人物","保留重写","人物/复仇与自我边界","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-014","代价成长型主角","人物","保留重写","人物/代价成长与自我重塑","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-015","功能鲜明型配角","人物","保留重写","人物/功能锚定型配角","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-016","恐惧驱动型主角","人物","合并吸收","人物/守护压力与底线","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-017","多阶段目标型主角","人物","保留重写","人物/多阶段目标与行动进展","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-018","弱点可代入型主角","人物","保留重写","人物/核心欲望与行为缺口","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-019","独立目标型女主","人物","保留重写","人物/独立目标与关系外人生","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-020","互补冲突型双强搭档","人物","保留重写","人物/互补冲突与共同成长","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-021","共同成长型情感搭档","人物","合并吸收","人物/互补冲突与共同成长","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-022","场景窗口型配角","人物","保留重写","人物/场景窗口与见证职责","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-023","任务触发型配角","人物","合并吸收","人物/功能锚定型配角","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-024","语言特征型小配角","人物","转交","篇章执行/技法","主要产出是篇章呈现或设定反馈","对白、单场动作或世界反馈不属于人物设计"
"CH-025","见证者视角型配角","人物","合并吸收","人物/场景窗口与见证职责","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-026","规则知情者型危险向导","人物","保留重写","人物/危险向导与信息不对称","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-027","秩序洁癖型反派","人物","合并吸收","人物/价值自洽反派与现实代价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-028","救世偏执型反派","人物","合并吸收","人物/价值自洽反派与现实代价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-029","旧友分岔型宿敌","人物","合并吸收","人物/镜像宿敌与理念分岔","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-030","体面外壳型脆弱领袖","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-031","欲望错位型成长主角","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-032","伤口回避型角色","人物","保留重写","人物/伤口回避与错误选择","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-033","层级接力型反派群","人物","保留重写","人物/层级递进反派职责","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-034","理念同源型师徒宿敌","人物","合并吸收","人物/镜像宿敌与理念分岔","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-035","冷面护短型导师","人物","保留重写","人物/导师边界与旧债","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-036","算账型军师","人物","合并吸收","人物/功能锚定型配角","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-037","表演型骗子盟友","人物","合并吸收","人物/利益盟友与忠诚转变","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-038","忠诚裂缝型副手","人物","拆分","人物/站队成本与忠诚裂缝","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-039","老规矩守门人","人物","合并吸收","人物/信条约束的组织成员","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-040","冒失真诚型破局者","人物","合并吸收","人物/功能锚定型配角","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-041","藏锋试探型主角","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-042","愧疚补偿型守护者","人物","拆分","人物/守护压力与底线","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-043","绝不求救型主角","人物","合并吸收","人物/伤口回避与错误选择","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-044","被神化的失踪前辈","人物","合并吸收","人物/场景窗口与见证职责","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-045","自毁式复仇者","人物","合并吸收","人物/复仇与自我边界","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-046","过度负责型大哥大姐","人物","合并吸收","人物/守护压力与底线","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-047","无害外壳危险天才","人物","删除","—","只有人物标签或反差模板","依赖固定标签与反差，无法形成独有设计动作"
"CH-048","利益型盟友转忠","人物","保留重写","人物/利益盟友与忠诚转变","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-049","被低估的边角小人物","人物","合并吸收","人物/功能锚定型配角","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-050","旧案见证型沉默长辈","人物","合并吸收","人物/场景窗口与见证职责","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-051","规则洁癖型执行者","人物","合并吸收","人物/信条约束的组织成员","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-052","自我诱饵型破局者","人物","转交","篇章执行/技法","主要产出是篇章呈现或设定反馈","对白、单场动作或世界反馈不属于人物设计"
"CH-053","记录成瘾型观察者","人物","合并吸收","人物/场景窗口与见证职责","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-054","高压嬉笑型托底者","人物","转交","篇章执行/技法","主要产出是篇章呈现或设定反馈","对白、单场动作或世界反馈不属于人物设计"
"CH-055","证据主义冷面分析者","人物","合并吸收","人物/场景窗口与见证职责","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
