来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
XH/UR/RM/GM-S·规则利用族,书级簇,合并吸收,拟技法 canonical「规则利用呈现」(类别:设定执行)；近邻 WT-063可执行规则文本法 / WT-034矛盾规则并列投放 / 节拍 PA-025规则分层揭示·PA-057试错缩圈,四题材智斗型爽点共享同一呈现问题=如何把「规则边界/漏洞/组合」写成可观察动作而非旁白宣布；题材词与成品例子不进技法,覆盖 XH-S01/S04；UR-S03/S09；RM-S02/S03/S06；GM-S01/S05/S08/S10。批次4与 WT 聚类时优先并入既有规则呈现条，缺「利用动作链」才新建
XH/UR/RM/GM-S·信息差族,书级簇,合并吸收,拟技法 canonical「信息差呈现」(类别:信息)；近邻 WT-058真误双线并跑法 / WT-074信息差潜台词法 / 节拍 PA-108信息差·PA-105迪化,共享呈现问题=谁知道什么、场上如何不说破却让读者感到优势/压迫；张力时序归节拍、章尾未闭合归追读，技法只收场内信息排布,覆盖 XH-S02；UR-S05；RM-S09；GM-S02/S18相关。不建「仙侠信息差/都市信息差」题材壳
XH/UR/GM-S·长线布局预判族,书级簇,转交,节拍(PA-065三层伏笔等) + 技法 WT-013多米诺骨牌式幕后布局 / WT-008三级伏笔,「多章铺垫后收网/预判布局」本质是跨章因果时序+布局链，非新呈现类别；成品「三卷前棋子」例子删除,覆盖 XH-S05；UR-S02；GM-S02行为预判。不新增技法条
UR-S01/S04·GM-S03·知识过程族,书级簇,合并吸收,拟技法 canonical「知识过程呈现」(类别:设定执行)；近邻创意约束「知识转化有门槛」与设定「知识转化与技术前置」,可迁移方法=展示推导/转化过程而非「主角说出答案」；与规则利用分立（此为知识→可用条件的过程镜头）,覆盖 UR-S01知识解题、UR-S04跨域迁移、GM-S03跨系统迁移。删成品化学/管理学例子
XH-S06–S10·UR-S06–S08·RM-S16–S20·GM-S06–S09·代价型爽点簇,书级簇,拆分,时序→节拍 PA-109代价升级 / PA-001压抑→爆发；落笔闭环→技法 WT-011代价闭环式金手指出手(类别:设定执行)；约束层已在书级「不可逆代价」等,代价爽点不是题材专属技法；拆后不保留「代价型爽点清单」外壳,覆盖四文件全部代价型 S 编号。转嫁/延迟/共同承担等若仅剧情模板则删除，只留「代价当场可见」呈现
XH-S11–S15·UR-S11–S15·RM-S11–S15·GM-S11–S15·反转型爽点簇,书级簇,转交,节拍 PA-048逐层认知 / PA-106身份掉马 / PA-061三段式爽点 / PA-025规则分层；追读 反转钩/身份错位钩/认知钩；呈现公平性→WT-058,反转是揭示时序+章尾压力，不是八类技法中的新壳；身份/规则/时间线/现实反转成品答案删除,覆盖四文件全部反转型 S。UR-S13认知颠覆见证若需落笔镜头可并入「信息差呈现」或 WT-069有限信息反派推演，不单独立条
XH-S03·GM-S10·借刀/以彼之道,书级簇,删除,—,依赖固定人物配置与事件顺序的成品智斗桥段；抽象后=规则利用或布局链，已被规则利用呈现与 WT-013 覆盖，无独有失败模式,成品例子「引导两敌互杀/陷阱反将」一律不迁
RM-S01/S04/S05·推理型爽点,书级簇,合并吸收,技法 WT-036假设证据排除推理链(类别:信息) + 节拍 PA-026证据累积,逆推/来源推理/伪规则识别=推理链呈现与证据时序，不新建「规则怪谈推理技法」,批次4与 WT-036/012/044 近重复检查
RM-S07/S08/S10·博弈型爽点,书级簇,合并吸收,技法 WT-014三轮博弈反制(类别:信息) + 场景「谈判对峙/多人会议博弈」容器,人性/制定者/时间博弈是利益场内的呈现节奏，容器归场景、轮次抬升归 WT-014，不建题材博弈壳,RM-S08 制定者博弈若落「幕后意志」过深则仅保留信息博弈部分
GM-S04/S11/S12·以弱胜强/Bug核心/失败最优解,书级簇,转交,节拍 PA-033战力受限换维 / PA-061三段式；创意约束「优势带可利用弱点」「核心优势可竞争」,命题层属创意约束/节拍，章内呈现无独立于「低估→证明→补刀」的新方法,成品「最低级材料合成神装」删除
GM-S14/S15·NPC觉醒/世界真相,书级簇,转交,节拍揭示组 + 追读 认知/悬念钩；设定层归故事对象,世界观真相与 NPC 复杂性是揭示时序与设定设计，非技法组织法,成品桥段删除
