来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
断章钩,存量追读,保留重写,追读/钩子-断章钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
危机钩,存量追读,保留重写,追读/钩子-危机钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
悬念钩,存量追读,保留重写,追读/钩子-悬念钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
选择钩,存量追读,保留重写,追读/钩子-选择钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
时间倒计时钩,存量追读,保留重写,追读/钩子-时间倒计时钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
渴望钩,存量追读,保留重写,追读/钩子-渴望钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
支票钩,存量追读,保留重写,追读/钩子-支票钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
情绪钩,存量追读,保留重写,追读/钩子-情绪钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
反转钩,存量追读,保留重写,追读/钩子-反转钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
认知钩,存量追读,保留重写,追读/钩子-认知钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
身份错位钩,存量追读,保留重写,追读/钩子-身份错位钩,按目标schema重写，删适用题材全部与FM毒点,种属关系见摘要
SP-018 下卷预告收束,场景转交,合并吸收,追读/钩子-支票钩,卷尾预告=未兑现承诺压力,
SP-063 任务结算留钩,场景转交,合并吸收,追读/钩子-支票钩,单元结算异常=预售下单元,并SP-086
SP-086 结算异常留钩,场景转交,合并吸收,追读/钩子-支票钩,与SP-063近重复,
SP-065 付费卡点,场景转交,合并吸收,追读/钩子-断章钩,答案前一秒切断=断章,
SY-057 评级结算与隐藏评分,门0-SY,合并吸收,追读/钩子-支票钩,评级将出未兑=支票压力,非技法
SY-100 同人节点任务机制,门0-SY,合并吸收,追读/钩子-选择钩,节点任务强制二选=选择压力；若偏章尾预告可叠支票,
