来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
结构-卷间回顾预告,存量技法,锐化,技法/结构-卷间回顾预告,已有 canonical，按目标 schema 锐化三切片,
结构-卷章四任务平衡,存量技法,锐化,技法/结构-卷章四任务平衡,已有 canonical，按目标 schema 锐化三切片,
WT-001,写作技法.csv,合并吸收,技法/对白-声线差异化,与 SP-002/CH-024 同问题,
WT-002,写作技法.csv,合并吸收,技法/情感-触发反应链,情感链,
WT-003,写作技法.csv,合并吸收,技法/描写-五感定场,场景感官,
WT-004,写作技法.csv,转交,节拍/PA-001-压抑蓄力爆发,张力时序非呈现,
WT-005,写作技法.csv,保留重写,技法/对白-去水词压缩,对话密度,
WT-006,写作技法.csv,转交,节拍/PA-004-情绪高压三段式,情绪时序弧,
WT-007,写作技法.csv,保留重写,技法/战斗-分镜节拍,战斗编排,
WT-008,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,伏笔层级管理并入埋线法,
WT-009,写作技法.csv,合并吸收,技法/对白-多人锚点沉默,群戏锚点,
WT-010,写作技法.csv,保留重写,技法/结构-场景卡四元,单场骨架,
WT-011,写作技法.csv,保留重写,技法/设定执行-金手指代价出手,代价闭环,
WT-012,写作技法.csv,保留重写,技法/信息-红鲱鱼误导,合法误导,
WT-013,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,布局链呈现并入伏笔因果,
WT-014,写作技法.csv,合并吸收,技法/信息-微冲突信息差,博弈呈现偏信息持有；容器归场景,
WT-015,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,闲笔埋线,
WT-016,写作技法.csv,保留重写,技法/描写-动态环境联动,动态环境,
WT-017,写作技法.csv,合并吸收,技法/信息-规则文本仿真,档案冷静体并入规则仿真,
WT-018,写作技法.csv,保留重写,技法/对白-圈层黑话点缀,圈层语,
WT-019,写作技法.csv,转交,人物,配角番外属对象/结构策划非场呈现,
WT-020,写作技法.csv,合并吸收,技法/视角-解说席拆招,第三方拆招,
WT-021,写作技法.csv,合并吸收,技法/结构-卷章四任务平衡,四任务,
WT-022,写作技法.csv,合并吸收,技法/结构-场景卡四元,段落功能并入单场骨架,
WT-023,写作技法.csv,删除,-,写前材料包属生产流程非读者向呈现方法,
WT-024,写作技法.csv,转交,人物,配角功能分配属人物维,
WT-025,写作技法.csv,保留重写,技法/结构-章节衔接,章间衔接,
WT-026,写作技法.csv,转交,节拍/PA-021-章章爽压钩均衡,爽压钩配比属节拍,
WT-027,写作技法.csv,删除,-,伏笔台账属作者工具非正文呈现,
WT-028,写作技法.csv,合并吸收,技法/结构-场景卡四元,场景五要素近重复,
WT-029,写作技法.csv,合并吸收,技法/结构-结果先行开篇,关键句钉点并入开篇组织,
WT-030,写作技法.csv,转交,节拍/PA-019-段落级情绪起伏,情绪曲线时序,
WT-031,写作技法.csv,合并吸收,技法/结构-卷间回顾预告,回顾,
WT-032,写作技法.csv,合并吸收,技法/结构-卷间回顾预告,预告,
WT-033,写作技法.csv,合并吸收,技法/信息-规则文本仿真,守则体,
WT-034,写作技法.csv,合并吸收,技法/信息-矛盾规则对照,矛盾规则,
WT-035,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,三线埋规,
WT-036,写作技法.csv,合并吸收,技法/信息-证据投放顺序,推理链,
WT-037,写作技法.csv,合并吸收,技法/描写-动作化情绪,show don't tell,
WT-038,写作技法.csv,合并吸收,技法/描写-五感定场,比喻点缀并入定场，不单立修辞维,
WT-039,写作技法.csv,合并吸收,技法/描写-五感定场,五感环境,
WT-040,写作技法.csv,合并吸收,技法/结构-多线锚点切换,多线汇聚呈现侧,
WT-041,写作技法.csv,转交,人物,人物弧光催化剂属人物维,
WT-042,写作技法.csv,保留重写,技法/视角-不可靠叙述,不可靠叙述,
WT-043,写作技法.csv,合并吸收,技法/结构-多线锚点切换,双时间线锚点,
WT-044,写作技法.csv,合并吸收,技法/信息-证据投放顺序,侧写证据化,
WT-045,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,回收检查,
WT-046,写作技法.csv,合并吸收,技法/描写-动态环境联动,动态天气,
WT-047,写作技法.csv,合并吸收,技法/对白-多人锚点沉默,沉默者,
WT-048,写作技法.csv,删除,-,大纲时间线管理属策划工具,
WT-049,写作技法.csv,合并吸收,技法/描写-五感定场,感官层次,
WT-050,写作技法.csv,合并吸收,技法/描写-动作化情绪,微动作连锁,
WT-051,写作技法.csv,合并吸收,技法/对白-潜台词双层,潜台词,
WT-052,写作技法.csv,合并吸收,技法/结构-结果先行开篇,开篇炸点,
WT-053,写作技法.csv,保留重写,技法/结构-快节奏推进,快叙事,
WT-054,写作技法.csv,合并吸收,技法/信息-矛盾规则对照,规则交叉校验,
WT-055,写作技法.csv,合并吸收,技法/信息-证据投放顺序,假设排除,
WT-056,写作技法.csv,转交,节拍,多结局条件属结构时序/大纲,
WT-057,写作技法.csv,合并吸收,技法/信息-证据投放顺序,证据顺序,
WT-058,写作技法.csv,保留重写,技法/信息-真误双线铺垫,反转公平,
WT-059,写作技法.csv,合并吸收,技法/结构-多线锚点切换,切线锚点,
WT-060,写作技法.csv,转交,节拍/PA-004-情绪高压三段式,情绪三段时序,
WT-061,写作技法.csv,保留重写,技法/情感-爽点后停顿,爆点后一拍,
WT-062,写作技法.csv,合并吸收,技法/设定执行-金手指代价出手,代价即时,
