来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
TR-001 TR-001,桥段套路.csv,删除,-,退婚流依赖当众羞辱→立誓→蓄力→反杀的固定事件顺序，无可抽象独有方法,真删除保留
TR-002 TR-002,桥段套路.csv,合并吸收,场景/重逢,追妻火葬场重逢是今昔对照的关系再会容器，已由场景/重逢覆盖,返修:原挂身份掉马错维
TR-003 TR-003,桥段套路.csv,合并吸收,节拍/PA-054-质疑-证明-补刀三拍,打脸权威的质疑-证明-补刀时序已有节拍,
TR-004 TR-004,桥段套路.csv,删除,-,追妻火葬场醒悟-受虐-付出-原谅四段固定情感顺序模板,真删除保留
TR-005 TR-005,桥段套路.csv,合并吸收,节拍/PA-007-黄金三章情绪契约+场景/开篇危机,穿越开局黄金三章危机钩已由开篇容器与情绪契约覆盖,返修:原挂身份掉马错维
TR-006 TR-006,桥段套路.csv,合并吸收,节拍/PA-028-天赋揭晓升级,根骨检测异象出金是天赋揭晓阶段奖励节点,返修:原挂设定执行技法错维
TR-007 TR-007,桥段套路.csv,合并吸收,场景/重逢,久别重逢克制试探即今昔对照关系再会容器,返修:原挂身份掉马错维
TR-008 TR-008,桥段套路.csv,合并吸收,场景/真相揭露+节拍/PA-048-线索剥洋葱递亮,反派恶行反转是铺垫回收的揭晓戏加认知递进,返修:原挂反转钩，改真相揭露容器
TR-009 TR-009,桥段套路.csv,合并吸收,场景/群像日常,社团招新大混战是具体活动承载的多人互动容器,返修:删除改合并，题材化改写非无原理
TR-010 TR-010,桥段套路.csv,合并吸收,节拍/PA-001-压抑蓄力爆发+PA-054-质疑-证明-补刀三拍,战神归来护亲打脸是压抑蓄力加打脸时序,返修:补压抑蓄力节拍
TR-011 TR-011,桥段套路.csv,合并吸收,技法/信息-误会作工具+节拍/PA-038-情感账户回补,误会解除情绪回流是可回收误会工具加情感回补,返修:原挂反转钩错维
TR-012 TR-012,桥段套路.csv,合并吸收,技法/设定执行-规则利用呈现+场景/当众翻盘,校园霸凌规则反杀靠规则漏洞组合与公开社死,返修:原挂副本入场错维，核实规则利用呈现实名
TR-013 TR-013,桥段套路.csv,合并吸收,场景/拍卖会,拍卖会捡漏是以竞价为骨架的多方博弈容器,返修:原挂身份掉马错维
TR-014 TR-014,桥段套路.csv,合并吸收,技法/设定执行-工艺失控具体,炼丹炸炉变异是工艺失败步骤偏差加意外收获,返修:原去向为真误双线簇复制错误
TR-015 TR-015,桥段套路.csv,删除,-,科举考场高压搜检是设定型氛围模板，无可迁移canonical方法,真删除保留
TR-016 TR-016,桥段套路.csv,合并吸收,节拍/PA-054-质疑-证明-补刀三拍+场景/当众翻盘,学院大考非常规破题是质疑-证明时序加公开翻盘容器,返修:补当众翻盘容器
TR-017 TR-017,桥段套路.csv,合并吸收,场景/仪式,封印解封仪式反噬是秩序化步骤与临界失控容器,返修:删除改合并
