来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
比武大会,存量,保留重写,场景/比武大会,多轮赛事擂台=参与者梯度与利益关系的事件互动容器,删除适用题材与毒点字段;毒点判据并入审稿时;赛事换皮(演武/电竞)向此合并
打斗,存量,保留重写,场景/打斗,单对单战斗=攻守双方事件互动容器,删除适用题材与毒点;战斗节奏/招式呈现类拆入技法;环境战与试探战向此合并
伏击,存量,保留重写,场景/伏击,伏击遇袭=双向信息差的攻守事件容器,删除适用题材与毒点
秘境探险,存量,保留重写,场景/秘境探险,规则约束下的探索=资源危险队伍三角事件容器,删除适用题材与毒点;遗迹揭史向此合并
拍卖会,存量,保留重写,场景/拍卖会,竞价多方博弈事件容器,删除适用题材与毒点;拍卖暗斗向此合并
谈判对峙,存量,保留重写,场景/谈判对峙,筹码交换博弈事件容器,删除适用题材与毒点;屋檐对峙向此合并
宴会,存量,保留重写,场景/宴会,宴席社交冲突事件容器,删除适用题材与毒点;饭桌冲突/节庆惊变/庆典向此合并
突破,存量,保留重写,场景/突破,境界跃升临界戏含干扰介入=事件容器,删除适用题材与毒点;渡劫向此合并
真相揭露,存量,保留重写,场景/真相揭露,现场压力下的揭晓对峙事件容器,删除适用题材与毒点;公开验证反转向此合并
赌局,存量,保留重写,场景/赌局,不可逆赌注的对赌事件容器,删除适用题材与毒点
冲突对话,存量,移动技法,技法/对白,潜台词与节奏=对白组织呈现方法非事件容器,强信号;SP-030潜台词错位向此合并
名场面,存量,移动技法,技法/结构,伏笔集中引爆=呈现与结构手法非事件容器,强信号
对比反差,存量,移动技法,技法/结构,横纵对照制造爽感=组织呈现方法,强信号
微冲突,存量,移动技法,技法/信息,信息不对称维持章节张力=呈现方法,强信号;张力维持偏技法非独立事件容器
画面感单场戏,存量,移动技法,技法/描写,感官细节落地=纯描写呈现方法,强信号
感情推进,存量,拆分,见备注,混合关系设计/情绪节拍/场景容器需按可独立调用问题拆分不留兜底,强信号;拆分产物:关系当场跃迁事件容器→合并场景/关系跃迁;情绪回合时序→转交节拍;长期关系设计→转交人物;误会作为信息工具→转交技法/信息
SP-001 节奏递进式战斗,CSV,合并吸收,场景/打斗,先试探再升级最后转折=战斗内张力递进属打斗节奏,题材换皮外壳去除;递进方法并入打斗规划时
SP-002 声线差异化,CSV,移动技法,技法/对白,多角色声线拉开=对白呈现方法,
SP-003 卷级叙事功能分配,CSV,移动技法,技法/结构,卷级功能区分=书卷结构方法,
SP-004 扮猪吃虎式打脸反击,CSV,删除,-,依赖固定人物配置与信息差反转的成品桥段模板,换题材词仍同模板
SP-005 活动嵌入式群像日常,CSV,保留重写,场景/群像日常,群像日常=活动承载的多人互动事件容器,SP-058/029/081向此合并
SP-006 证据链攻防式庭审,CSV,保留重写,场景/庭辩,庭审辩论=证据攻防的对抗事件容器,SP-087道心文斗向此合并
SP-007 克制式久别重逢,CSV,保留重写,场景/重逢,久别重逢=今昔对照的关系事件容器,SP-036/043向此合并
