当前路径,当前维度,初始目标维度,初始处置,重点审计,责任子任务
场景/比武大会.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/冲突对话.md,场景,技法候选,重点审计后移动或拆分,手法型场景强边界信号,篇章知识
场景/打斗.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/赌局.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/对比反差.md,场景,技法候选,重点审计后移动或拆分,手法型场景强边界信号,篇章知识
场景/伏击.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/感情推进.md,场景,待拆分,重点审计人物/节拍/场景职责,混合长期关系与章级情绪,篇章知识
场景/画面感单场戏.md,场景,技法候选,重点审计后移动或拆分,手法型场景强边界信号,篇章知识
场景/秘境探险.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/名场面.md,场景,技法候选,重点审计后移动或拆分,手法型场景强边界信号,篇章知识
场景/拍卖会.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/谈判对峙.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/突破.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/微冲突.md,场景,技法候选,重点审计后移动或拆分,手法型场景强边界信号,篇章知识
场景/宴会.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
场景/真相揭露.md,场景,场景,待子任务逐条裁决,核对事件容器与呈现方法边界,篇章知识
节拍/PA-001-压抑蓄力爆发.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-002-微反转补刀.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-003-中后期留存修复.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-004-情绪高压三段式.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-005-反派压力阶梯推进.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-006-狗血冲突螺旋升级.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-007-黄金三章情绪契约.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-008-章末钩子断点.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-009-群像多线汇聚.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-010-战力膨胀修复.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-011-卷间回顾预告.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-012-修罗场多方加压.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-013-首杀争夺冲刺.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-014-收缩圈生存淘汰.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-015-失忆身份重构弧.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-016-学院大考逐题抬升.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-017-系统降临开篇崩盘.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-018-卷章四任务平衡.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-019-段落级情绪起伏.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-020-前五章卖点直出.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-021-章章爽压钩均衡.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-022-高潮疏密校准.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-023-卷终余波结算.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-024-选择分支蝴蝶效应.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-025-规则递进揭示.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-026-证据累积逼真相.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-027-副本限时倒计时.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-028-天赋揭晓升级.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-029-多线汇聚大事件.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-030-弧光催化转折.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-031-倒叙开篇追因.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-032-留存止血急救.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-033-战力受限再造张力.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-034-时间跳跃提速.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-035-道德抉择震荡.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-036-主神任务歧义陷阱.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-038-情感账户回补.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-039-伏笔库存清债.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-041-小高潮接力续航.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-042-中段结构纠偏.md,节拍,待定：技法或诊断知识族,重点审计是否移出创作候选,问题诊断型命名与节拍边界,篇章知识
节拍/PA-043-大战前静压聚能.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-044-爽点换挡防疲劳.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-045-新地图适应导入.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-046-支线并线回主轴.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-047-连败压强蓄爆.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-048-线索剥洋葱递亮.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-049-关系冷战发酵.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-050-隐藏条件回填.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-051-终局分歧铺路.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-052-结局前总账清算.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-053-压迫-释放短循环.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-054-质疑-证明-补刀三拍.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-055-爆点后静默回响.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-056-多线轮转汇聚.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-057-试错递进破局.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-057/PA-072,篇章知识
节拍/PA-058-假安全崩塌追收.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-059-真假规则翻面.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-060-后日谈降落余温.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-061-铺垫兑现微反转.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-063-情绪蓄压虐点.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-063/PA-110,篇章知识
节拍/PA-065-三层伏笔回收.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-067-日常降压蓄能.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-071-战中破境兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
