包内相对路径,目标相对路径(相对references根),文件,改动类型,一句话说明
fixes/题材/玄幻.md,题材/玄幻.md,玄幻.md,正确性,毒点展开补齐"境界压制"条目(front matter 5项↔展开 4→5项对齐)
fixes/流派/扮猪吃虎流.md,流派/扮猪吃虎流.md,扮猪吃虎流.md,适用题材,适用题材 修仙→仙侠
fixes/流派/无敌流.md,流派/无敌流.md,无敌流.md,适用题材,适用题材 修仙→仙侠
fixes/流派/稳健流.md,流派/稳健流.md,稳健流.md,适用题材,适用题材 修仙→仙侠 并整理顺序
fixes/流派/重生流.md,流派/重生流.md,重生流.md,适用题材,适用题材 修仙→仙侠
fixes/流派/追妻火葬场.md,流派/追妻火葬场.md,追妻火葬场.md,格式,毒点1 句式统一"主语+不得"
fixes/流派/系统流.md,流派/系统流.md,系统流.md,格式,毒点2 句式统一"主语+不得"
fixes/场景/秘境探险.md,场景/秘境探险.md,秘境探险.md,适用题材+正确性,适用题材 修仙→仙侠/西幻→奇幻/无限流移除;审稿引用编号纠正(毒点四→毒点一)
fixes/场景/谈判对峙.md,场景/谈判对峙.md,谈判对峙.md,正确性,审稿清单补引用毒点4(原死毒点)
fixes/节拍/PA-001-压抑蓄力爆发.md,节拍/PA-001-压抑蓄力爆发.md,PA-001-压抑蓄力爆发.md,格式,毒点1/2/3 句式统一"主语+不得"
fixes/节拍/PA-002-微反转补刀.md,节拍/PA-002-微反转补刀.md,PA-002-微反转补刀.md,格式,毒点1/2/3 句式统一"主语+不得"
fixes/节拍/PA-056-多线轮转汇聚.md,节拍/PA-056-多线轮转汇聚.md,PA-056-多线轮转汇聚.md,正确性,一句话去"日常"窄化;毒点1 句式统一
fixes/节拍/PA-107-微兑现.md,节拍/PA-107-微兑现.md,PA-107-微兑现.md,正确性,题材称谓 非canonical→canonical(爽文/言情/日常→玄幻/都市/科幻向等)
fixes/references/路由.csv,references/路由.csv,路由.csv,路由表,补 7 行:末世/诡秘/洪荒流/扮猪吃虎流/无敌流/稳健流/重生流
