"来源ID","主要问题","原始维度","处置","canonical去向","近重复","删除内容与理由"
"NR-001","角色人名","命名","保留重写","命名/角色名身份语系","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-002","角色人名","命名","合并吸收","命名/角色名身份语系","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-003","书名","命名","保留重写","命名/书名卖点承诺","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-004","卷名","命名","保留重写","命名/卷名阶段路标","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-005","章节名","命名","保留重写","命名/章节名事件与悬念","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-006","组织黑话","命名","保留重写","命名/术语规则名可复述性","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-007","官职爵位","命名","保留重写","命名/制度官职与称谓","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-008","神话专名","命名","拆分","命名/术语规则名可复述性","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-009","书名","命名","合并吸收","命名/书名卖点承诺","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-010","书名","命名","保留重写","命名/书名悬念事实","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-011","书名","命名","合并吸收","命名/书名卖点承诺","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-012","书名","命名","合并吸收","命名/书名卖点承诺","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-013","卷名","命名","保留重写","命名/卷名阶段路标","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-014","章节名","命名","合并吸收","命名/书名悬念事实","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-015","章节名","命名","合并吸收","命名/标题系列一致性","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-016","书名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-017","书名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-018","书名","命名","合并吸收","命名/书名悬念事实","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-019","书名","命名","合并吸收","命名/书名悬念事实","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-020","书名","命名","合并吸收","命名/书名悬念事实","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-021","卷名","命名","合并吸收","命名/卷名阶段路标","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-022","卷名","命名","合并吸收","命名/卷名阶段路标","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-023","章节名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-024","章节名","命名","拆分","命名/标题系列一致性","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-025","地名","命名","保留重写","命名/地点名功能与记忆","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-026","势力名","命名","保留重写","命名/组织势力名立场与功能","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-027","功法招式","命名","保留重写","命名/能力物品名功能与限制","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-028","法宝遗物","命名","合并吸收","命名/能力物品名功能与限制","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-029","代号绰号","命名","保留重写","命名/代号绰号传播","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-030","职业序列","命名","合并吸收","命名/制度官职与称谓","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-031","副本秘境名","命名","保留重写","命名/任务副本名目标与异常","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-032","终章番外名","命名","转交","命名/章节名事件与悬念","主要问题属于篇章结构或其他任务","命名规则仅登记去向，正文不在本批复制"
