来源ID,主要问题,原始维度,处置,canonical去向,近重复,删除内容与理由
SY-001,阶梯式力量体系,设定,保留重写,设定/力量阶梯与越级边界,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-002,高代价异能,设定,保留重写,设定/能力代价与使用边界,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-003,成长型系统金手指,设定,合并吸收,设定/系统任务与结算反馈,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-004,多方派系格局,设定,保留重写,设定/派系利益与冲突网络,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-005,诸天流穿越机制,设定,保留重写,设定/跨世界身份与规则适配,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-006,系统商城价格锚点,设定,合并吸收,设定/系统经济与兑换锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-007,学院流课程考核派系联动,设定,拆分,设定/传承筛选与知识垄断,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-008,时间循环规则,设定,保留重写,设定/时间循环与因果模型,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-009,组织资源循环,设定,拆分,设定/组织资源与权力分配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-010,主神任务机制,设定,合并吸收,设定/系统任务与结算反馈,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-011,技能循环体系,设定,保留重写,设定/能力配置与克制关系,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-012,抽卡保底机制,设定,合并吸收,设定/系统经济与兑换锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-013,随身导师人格,设定,转交,人物/非人伙伴与权限边界,主要产出不在设定,主要产出是角色权限与选择边界
SY-014,失败惩罚机制,设定,转交,创意约束/不可逆代价,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-015,开局奖励梯度,设定,合并吸收,设定/能力成长与阶段解锁,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-016,信用货币体系,设定,保留重写,设定/资源流通与经济锚点,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-017,核心目标物设定,设定,保留重写,设定/目标物牵引与持有风险,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-018,奇观地理与文明适配,设定,保留重写,设定/地理交通与资源网络,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-019,购买力锚点与通胀,设定,合并吸收,设定/资源流通与经济锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-020,神话预言体系,设定,拆分,设定/文化禁忌与日常实践,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-021,大逃杀地图机制,设定,保留重写,设定/副本目标与压力闭环,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-022,地下城节点结构,设定,合并吸收,设定/地点通行与空间结构,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-023,装备词条体系,设定,保留重写,设定/物品功能与来历约束,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-024,梦境迷宫层级,设定,合并吸收,设定/地点通行与空间结构,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-025,时间悖论修正机制,设定,合并吸收,设定/时间循环与因果模型,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-026,官职爵位权责体系,设定,保留重写,设定/制度权责与超凡适配,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-027,黑市风险商品体系,设定,合并吸收,设定/物品功能与来历约束,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-028,土法工业跃迁,设定,保留重写,设定/知识转化与技术前置,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-029,宇宙沉默法则,设定,转交,流派/克苏鲁,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-030,跨世界能力适配,设定,拆分,设定/跨世界身份与规则适配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-031,异常收容分级,设定,保留重写,设定/异常污染与恢复窗口,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-032,怪物料理与buff,设定,删除,—,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-033,中立避难所规则,设定,保留重写,设定/组织资源与权力分配,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-034,阶层流动机制,设定,合并吸收,设定/制度权责与超凡适配,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-035,超凡者特别法,设定,合并吸收,设定/制度权责与超凡适配,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-036,贸易网络与资源节点,设定,保留重写,设定/资源流通与经济锚点,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-037,地理交通危险带,设定,合并吸收,设定/地理交通与资源网络,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-038,历史断层与当代秩序,设定,保留重写,设定/历史断层与当代秩序,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-039,文化传统与禁忌仪式,设定,合并吸收,设定/文化禁忌与日常实践,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-040,教育传承筛选体系,设定,合并吸收,设定/传承筛选与知识垄断,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-041,冲突源矩阵,设定,拆分,设定/派系利益与冲突网络,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-042,金手指获取方式分级,设定,删除,—,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-043,金手指首次亮相机制,设定,转交,篇章执行/技法,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-044,成长节点映射剧情阶段,设定,合并吸收,设定/能力成长与阶段解锁,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-045,限制类型组合,设定,转交,创意约束/优势带可利用弱点,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-046,规则链闭环,设定,保留重写,设定/规则闭环与覆盖校验,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-047,真假规则分层,设定,合并吸收,设定/规则闭环与覆盖校验,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-048,天赋稀有度与升级,设定,合并吸收,设定/能力成长与阶段解锁,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-049,副本目标奖励倒计时,设定,合并吸收,设定/副本目标与压力闭环,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-050,规则覆盖校验,设定,合并吸收,设定/规则闭环与覆盖校验,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-051,分支旗标与属性门槛,设定,转交,篇章执行/节拍,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-052,暴露值与追猎风险,设定,保留重写,设定/能力代价与使用边界,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-053,兑换货币与主神经济,设定,合并吸收,设定/系统经济与兑换锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-054,天赋共鸣与克制链,设定,合并吸收,设定/能力配置与克制关系,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-055,制定者-执行者-代理者层级,设定,合并吸收,设定/制度权责与超凡适配,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-056,灾难与祝福现实联动,设定,拆分,设定/现实与副本双向反馈,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-057,评级结算与隐藏评分,设定,转交,篇章执行/追读,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-058,污染累计与恢复窗口,设定,保留重写,设定/异常污染与恢复窗口,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-059,分段解锁成长机制,设定,合并吸收,设定/能力成长与阶段解锁,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-060,冷却与资源限制机制,设定,合并吸收,设定/能力代价与使用边界,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-061,四层代价矩阵,设定,转交,创意约束/不可逆代价,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-062,金手指首秀锚定,设定,删除,篇章执行/技法,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-063,隐藏机制与后遗症,设定,合并吸收,设定/能力代价与使用边界,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-064,规则识别型天赋,设定,保留重写,设定/能力信息与决策提示,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-065,规则漏洞利用机制,设定,合并吸收,设定/规则闭环与覆盖校验,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-066,经营台账型金手指,设定,保留重写,设定/经营台账与产业链,该簇唯一保留骨架,抽象为对象设计方法并删除题材实例
SY-067,空间药园成长机制,设定,合并吸收,设定/经营台账与产业链,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-068,前世记忆信息差,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-069,关系感知型金手指,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-070,年代物资兑换边界,设定,删除,—,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-071,快穿任务结算机制,设定,转交,流派/快穿流,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-072,剧情偏差预警机制,设定,转交,创意约束/成功解法会被适应,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-073,原主执念任务源,设定,转交,人物/遗留关系债与委托边界,主要产出不在设定,主要产出是任务者与原主关系方法
SY-074,血脉觉醒与身份代价,设定,拆分,设定/跨世界身份与规则适配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-075,双向契约灵兽体系,设定,合并吸收,设定/契约绑定与双向责任,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-076,功德福运回响机制,设定,转交,创意约束/收益同步扩大风险,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-077,医术药膳治愈体系,设定,合并吸收,设定/能力代价与使用边界,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-078,雷劫心魔因果劫机制,设定,合并吸收,设定/能力代价与使用边界,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-079,周期性秘境机缘体系,设定,合并吸收,设定/副本目标与压力闭环,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-080,认知污染后遗症,设定,合并吸收,设定/异常污染与恢复窗口,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-081,产业链复利经营机制,设定,合并吸收,设定/经营台账与产业链,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-082,电竞训练复盘系统,设定,转交,篇章执行/技法,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-083,历史知识差边界,设定,合并吸收,设定/知识转化与技术前置,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-084,AI预测辅助机制,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-085,本命法宝共修机制,设定,合并吸收,设定/物品功能与来历约束,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-086,剧情先知失效机制,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-087,末世基地经营机制,设定,拆分,设定/组织资源与权力分配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
